,no. Bit,Number Structure
0,0,8
1,1,12
2,2,36
3,3,82
4,4,100
5,5,55
6,6,19
7,7,20
8,8,26
9,9,26
10,10,38
11,11,19
12,12,61
13,13,28
14,14,29
15,15,10
16,16,119
17,17,10
18,18,23
19,19,34
20,20,59
21,21,142
22,22,38
23,23,22
24,24,106
25,25,104
26,26,23
27,27,50
28,28,32
29,29,17
30,30,63
31,31,13
32,32,59
33,33,39
34,34,11
35,35,22
36,36,23
37,37,83
38,38,16
39,39,27
40,40,64
41,41,58
42,42,65
43,43,51
44,44,23
45,45,11
46,46,71
47,47,69
48,48,30
49,49,10
50,50,71
51,51,90
52,52,21
53,53,27
54,54,50
55,55,14
56,56,15
57,57,33
58,58,41
59,59,134
60,60,21
61,61,29
62,62,19
63,63,23
